ts,symbol,open_time,spot_close,mark_close,index_close,premium_close,basis_mark_vs_spot,basis_index_vs_spot,funding_rate,funding_interval_hours,volume,quote_volume,trades,agg_sum_qty,agg_trades,agg_cvd_qty,agg_vwap,agg_last_trade_id,agg_taker_buy_qty,agg_taker_sell_qty,agg_taker_buy_trades,agg_taker_sell_trades,agg_buy_notional,agg_sell_notional,agg_buy_vwap,agg_sell_vwap,agg_first_price,agg_last_price,agg_first_trade_id
2025-01-22 08:00:00+00:00,XRP-USDT,1737532800000,3.1619,3.1622,3.16199429,7.23E-06,9.49E-05,2.98E-05,0.0001,8,1601975,5072348.311,16718,1601975,4392,-245541,3.166309281,536851666,678217,923758,2028,2364,2147028.867,2925319.444,3.165696034,3.166759524,3.171,3.1619,536847275
2025-01-22 08:15:00+00:00,ADA-USDT,1737533700000,0.9826,0.9826,0.98282566,-0.00037433,0,0.0002296560147,0.0001,8,1553727.6,1528118.614,9300,1553727.6,2566,-400437.6,0.9835177119,367409042,576645,977082.6,1479,1087,567419.6553,960698.9587,0.9840016913,0.9832320816,0.9857,0.9826,367406477
2025-01-22 08:15:00+00:00,BNB-USDT,1737533700000,695.53,695.8513369,695.5516068,0.00038251,0.0004620029474,3.11E-05,0,8,3755.619,2614069.872,14315,3755.619,4251,-1213.561,696.0423493,633575960,1271.029,2484.59,2146,2105,884554.5634,1729515.308,695.9357838,696.0968644,697.16,695.53,633571710
2025-01-22 08:15:00+00:00,BTC-USDT,1737533700000,104805.01,104808.9,104819.0709,-0.00034544,3.71E-05,0.0001341625662,0.0001,8,254.63899,26710787.96,40773,254.63899,15676,-47.14841,104896.693,3394055903,103.74529,150.8937,7128,8548,10884287.95,15826500.01,104913.5623,104885.0947,105020,104805.01,3394040228
2025-01-22 08:15:00+00:00,ETH-USDT,1737533700000,3281.05,3280.97,3281.443171,-0.00029724,-2.44E-05,0.0001198307645,0.0001,8,5110.3187,16783860.04,30704,5110.3187,13444,-1265.6767,3284.307892,1402170181,1922.321,3187.9977,6235,7209,6313818.388,10470041.65,3284.476624,3284.206148,3292.84,3281.05,1402156738
2025-01-22 08:15:00+00:00,LINK-USDT,1737533700000,25.67,25.676,25.67439963,8.88E-06,0.0002337358785,0.0001713918972,0.0001,8,50092.98,1285795.531,3106,50092.98,1035,-7965.16,25.66817808,258569776,21063.91,29029.07,578,457,540439.7555,745355.7755,25.65714321,25.67618513,25.76,25.67,258568742
2025-01-22 08:15:00+00:00,SOL-USDT,1737533700000,253.51,253.49,253.5411725,-0.00021318,-7.89E-05,0.0001229635912,-2.09E-05,8,97941.911,24843963.92,62429,97941.911,13895,-8720.689,253.6601917,484236460,44610.611,53331.3,9292,4603,11311011.31,13532952.61,253.5497958,253.7525358,255.21,253.51,484222566
2025-01-22 08:15:00+00:00,XRP-USDT,1737533700000,3.1494,3.15030581,3.15007429,-1.63E-05,0.0002876135137,0.0002141010986,0.0001,8,2307043,7268580.535,24521,2307043,5208,-404249,3.150604707,536856874,951397,1355646,2889,2319,2998532.723,4270047.812,3.151715554,3.149825111,3.1618,3.1494,536851667
2025-01-22 08:30:00+00:00,ADA-USDT,1737534600000,0.9855,0.98551666,0.98569958,-0.00022242,1.69E-05,0.0002025164891,0.0001,8,1662500.6,1633261.949,7561,1662500.6,2204,-27298.4,0.982412848,367411246,817601.1,844899.5,1371,833,803416.9735,829844.9758,0.982651532,0.9821818758,0.9825,0.9855,367409043
2025-01-22 08:30:00+00:00,BNB-USDT,1737534600000,696.06,696.52,696.1735287,0.00044101,0.0006608625693,0.000163101859,0,8,2151.114,1496042.587,8824,2151.114,4078,211.406,695.4734092,633580038,1181.26,969.854,2210,1868,821542.283,674500.3042,695.4796429,695.4658167,695.53,696.06,633575961
